연번,업종,가맹점명칭,도로명주소,지번주소,전화번호,위도,경도
56,편의점,세븐일레븐 신사한남점,강남대로 632,,02-3284-8185,37.4847935,127.0337964
57,양식,주식회사 태번38,강남대로 652,서울 강남구 신사동 504-11,02-522-3738,37.4847935,127.0337964
58,양식,엘피노323,강남대로 652,서울 강남구 신사동 504-11,070-8987-1248,37.4847935,127.0337964
59,편의점,GS25 한강잠원1호점,강남대로 708,서울 강남구 압구정동 386-1,02-2006-2322,37.4847935,127.0337964
60,편의점,지에스25 한강잠원1호,강남대로 708,서울 강남구 압구정동 386-1,02-1114-1111,37.4847935,127.0337964
61,제과점,크리스피크림 강남역지하쇼핑센터점,강남대로 지하,서울 강남구 역삼동 858,02-567-9718,0.0,0.0
62,양식,모모스테이크,강남대로100길 10,서울 강남구 역삼동 619-15,02-554-6852,37.5020193,127.0286363
63,한식,고기꾼 김춘배,강남대로100길 13,서울 강남구 역삼동 619-5,02-584-7570,37.5020193,127.0286363
64,편의점,코리아세븐-역삼8호점,강남대로102길 11,서울 강남구 역삼동 813-18,02-3452-9302,37.5027424,127.027595
65,중식,뽕사부강남역점,강남대로102길 15,서울 강남구 역삼동 813-12,02-540-5174,37.5027424,127.027595
66,한식,제이에스키친,강남대로102길 22,서울 강남구 역삼동 619-1,02-564-7313,37.5027424,127.027595
67,한식,무월식탁,강남대로102길 23,서울 강남구 역삼동 812-15,02-552-9280,37.5026149,127.0272926
68,일반대중음식,파파야 리프(PAPAYA LEAF),강남대로102길 29,서울 강남구 역삼동 617-3,02-566-6178,37.5027424,127.027595
69,일반대중음식,브릭오븐 (주),강남대로102길 31,서울 강남구 역삼동 617-4,02-508-1325,37.5027424,127.027595
70,일반대중음식,(주)씨에스피푸드 르사이공강남점,강남대로102길 38,서울 강남구 역삼동 618-8,02-564-2366,37.5027424,127.027595
71,일반대중음식,더달달,강남대로102길 38-6,서울 강남구 역삼동 618-7,02-562-3737,37.5027424,127.027595
72,편의점,GS25 강남아트점,강남대로102길 40,서울 강남구 역삼동 618-3,080-855-2525,37.5027424,127.027595
73,편의점,CU 역삼본점,강남대로110길 11,서울 강남구 역삼동 601-11,02-554-4007,37.503966,127.0286256
74,한식,신마포갈매기(신논현역점),강남대로110길 12,,02-563-6092,37.503966,127.0286256
75,한식,강남삼계탕,강남대로110길 12,서울 강남구 역삼동 810,02-562-5736,37.503966,127.0286256
76,한식,삼겹살전문점대통령,강남대로110길 14,서울 강남구 역삼동 810-18,02-554-9934,37.503966,127.0286256
77,편의점,GS25 강남리츠칼튼점,강남대로110길 26,서울 강남구 역삼동 811-4,,37.503966,127.0286256
78,제과점,이제이베이킹,강남대로110길 29,서울 강남구 역삼동 615-19,02-547-9730,37.503966,127.0286256
79,한식,동해별관,강남대로112길 13,서울 강남구 논현동 198-18,02-3445-7979,37.5060842,127.0275352
80,편의점,GS25논현미래점,강남대로112길 20,서울 강남구 논현동 201-5,080-555-2525,37.5060842,0.0
81,한식,상황버섯 약수삼계탕,강남대로112길 29,서울 강남구 논현동 197-22,02-548-8835,37.5060842,127.0275352
82,한식,부산아지매국밥신논현역점,강남대로112길 30,서울 강남구 논현동 202-3,02-543-6999,37.5060842,127.0275352
83,한식,우생,강남대로112길 35,서울 강남구 논현동 197-19,02-549-9233,37.5060842,127.0275352
84,일식,어리숙회,강남대로112길 49,서울 강남구 논현동 196-10,02-6489-1733,37.5060842,127.0275352
85,한식,옥돌위에 세꼬시,강남대로112길 49,서울 강남구 논현동 196-10,02-518-2488,37.5060842,127.0275352
86,한식,난장캠프,강남대로114길 10,서울 강남구 논현동 198-3,02-516-1446,37.5066589,127.0262926
87,일반대중음식,봄날,강남대로114길 11,서울 강남구 논현동 184-38,02-547-2959,37.5066589,127.0262926
88,한식,장어의전설,강남대로114길 17,서울 강남구 논현동 184-20,02-514-8868,37.5066589,127.0262926
89,한식,팔공치킨,강남대로114길 20,서울 강남구 논현동 198-10,02-543-1980,37.5066589,127.0262926
90,한식,내당한우,강남대로114길 20,서울 강남구 논현동 198-10,02-534-7794,37.5066589,127.0262926
91,한식,노들강,강남대로114길 21,서울 강남구 논현동 184-18,02-517-6044,37.5065043,127.0273312
92,편의점,CU 강남논현타운점,강남대로114길 25,서울 강남구 논현동 184-16,080-80-3663,37.5066589,127.0262926
93,한식,삼육가,강남대로114길 8,서울 강남구 논현동 198,02-541-8055,37.5066589,127.0262926
94,제과점,파리바게뜨(신논현 교보타워점),강남대로118길 12,,02-544-8203,37.5071061,127.0260796
95,한식,하남장 돼지집,강남대로118길 17,서울 강남구 논현동 182-26,031-796-9232,37.5071061,127.0260796
96,양식,파스타스타,강남대로118길 21,서울 강남구 논현동 182-24,070-4763-8886,37.5071061,127.0260796
97,편의점,미니스톱논현한바위점,강남대로118길 30,서울 강남구 논현동 183-11,02-516-5424,37.5071061,127.0260796
98,한식,한솥도시락 논현초등학교옆점,강남대로118길 34,서울 강남구 논현동 183-13,02-517-5832,37.5071061,127.0260796
99,한식,새우의진수,강남대로118길 61,서울 강남구 논현동 180-13,02-548-9859,37.5071061,127.0260796
100,일반대중음식,미트맨,강남대로118길 62,서울 강남구 논현동 187-4,02-552-1312,37.5071426,127.0278333
